Date,APPLE INC. (XNAS:AAPL),JPMORGAN CHASE & CO. (XNYS:JPM),EXXON MOBIL CORPORATION (XNYS:XOM),PFIZER INC. (XNYS:PFE),THE PROCTER & GAMBLE COMPANY (XNYS:PG),"THE HOME DEPOT, INC. (XNYS:HD)",CATERPILLAR INC. (XNYS:CAT),"TESLA, INC. (XNAS:TSLA)",AT&T INC. (XNYS:T),AMERICAN TOWER CORPORATION (XNYS:AMT),Novo Nordisk A/S (XNYS:NVO),Sony Group Corporation (XNYS:SONY),Sap Se (XETR:SAP),BP P.L.C. (XNYS:BP),Nestle Ltd. (OTCM:NSRGY),YPF SA (XNYS:YPF),Vale SA (BVMF:VALE3),ICICI BANK LIMITED (XNYS:IBN),"Pacific Airport Group, S.A.B. de CV (XNYS:PAC)",PT Telkom Indonesia (Persero) Tbk (XNYS:TLK)
1/1/24,181.18,172.27,102.63,29.47,147.42,342.94,288.93,237.49,17.47,214.28,105.98,18.24,137.08,36.03,115.80,16.70,71.21,24.09,166.40,25.32
2/1/24,185.85,174.73,101.97,26.93,158.09,357.23,315.09,187.91,17.83,193.51,113.70,19.71,163.64,34.64,114.25,17.18,63.04,24.60,160.47,25.29
3/1/24,179.66,185.29,105.84,26.59,158.85,384.45,336.70,202.64,16.98,201.76,124.23,17.60,173.34,35.64,104.62,17.83,63.80,26.48,145.19,25.27
4/1/24,169.58,197.45,121.37,26.66,156.10,357.87,379.30,164.90,17.42,190.17,125.86,16.96,177.42,38.66,103.03,21.04,56.96,25.75,168.68,21.20
5/1/24,183.38,190.51,116.00,27.81,164.46,342.85,336.75,181.19,16.85,181.74,123.05,16.91,170.72,38.70,101.20,23.38,61.04,27.34,180.67,19.47
6/1/24,192.25,202.63,117.26,28.66,164.54,334.87,338.52,178.08,18.22,195.74,135.28,16.47,165.96,37.57,106.30,23.21,60.29,26.74,185.25,17.97
7/1/24,226.34,204.79,113.37,28.05,165.21,334.58,328.35,251.52,18.77,195.64,142.37,17.36,189.08,37.05,103.57,20.08,60.67,29.23,150.95,18.44
8/1/24,219.86,199.14,116.88,30.43,170.08,355.43,320.87,207.67,19.37,234.64,127.49,16.32,186.16,34.08,104.35,18.14,56.67,28.11,149.85,17.55
9/1/24,220.82,212.46,112.64,28.56,175.59,360.05,329.36,210.73,20.97,236.16,131.14,18.01,190.72,31.90,104.02,23.35,54.07,28.56,164.30,19.61
10/1/24,226.80,211.22,124.83,28.58,168.88,408.36,397.09,250.08,21.91,223.66,115.12,18.97,200.70,32.88,98.10,22.24,59.60,29.41,169.62,18.69
11/1/24,222.91,222.94,114.95,28.09,165.10,392.59,379.63,248.98,22.12,211.26,111.94,17.73,216.75,29.23,94.86,25.37,59.17,30.38,163.33,17.49
12/1/24,242.84,247.36,113.57,25.73,173.82,431.37,395.03,389.22,23.88,207.10,110.77,20.94,242.00,28.70,85.80,38.87,54.19,31.25,191.95,17.21
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
